food_id,alias,alias_type,language
food_57429107,aamat,primary,en
food_f624445a,acai bowl,primary,en
food_81384845,achari baingan,primary,en
food_d552ff0f,afghani chicken,primary,en
food_4448a9f7,aioli,primary,en
food_a32d862a,aji amarillo paste,primary,en
food_31d87ea8,akki roti,primary,en
food_c7991802,al yakhani,primary,en
food_966eb51e,alfajores,primary,en
food_23c13167,almond biscuit,primary,en
food_23c13167,badam ke biscuit,regional,hi
food_5c025a1f,almond cardamom cake,primary,en
food_5c025a1f,badam elaichi cake,regional,hi
food_09eca945,almond milk,primary,en
food_b1121429,almond soup,primary,en
food_b1121429,badam ka soup,regional,hi
food_4d198123,almonds,primary,en
food_710e45a6,aloo chokha,primary,en
food_d2ac3ee0,aloo gobi,primary,en
food_8b46239e,aloo ke gutke,primary,en
food_4b31b807,aloo kulcha,primary,en
food_8735b2c8,aloo matar,primary,en
usda_fenugreek_seeds__methi,aloo methi,learned,en
food_7d6c3581,aloo paratha,primary,en
food_886a0a8e,aloo phalliyaan,primary,en
food_4a33dad3,aloo pitika,primary,en
food_baf21756,aloo posto,primary,en
food_5965f28b,aloo puri,primary,en
food_e8990f9e,aloo roti,primary,en
food_514e15c9,aloo shimla mirch,primary,en
food_24f2aa76,aloo tikki,primary,en
food_f1d1a7a0,aloo tuk,primary,en
food_5ed1a5ab,alu pitika,primary,en
food_ae520167,amaranth ladoo,primary,en
food_ae520167,rajgira ladoo,regional,hi
food_f8404fe8,amaretti cookie,primary,en
food_b1adff20,american frosting,primary,en
food_2f6a19ba,amritsari fish,primary,en
food_210e077d,amritsari kulcha,primary,en
food_38a00078,amti,primary,en
food_08c761b5,ananas menaskai,primary,en
food_e1c824d7,andhra chicken curry,primary,en
food_00e956f0,andhra fish curry,primary,en
food_77101aea,angakar roti,primary,en
food_2b4b0743,angel hair pasta,primary,en
food_f6ff23ed,angostura bitters,primary,en
food_56248e32,ants on a log,primary,en
food_3dfb75fc,aperol spritz,primary,en
food_75eb2b6f,appam,primary,en
food_c7adc428,appam with egg curry,primary,en
food_0c66abe2,apple,primary,en
food_ac01d2ab,apple and honey sorbet,primary,en
food_ac01d2ab,seb aur shehad ka sharbat,regional,hi
food_efe92d6c,apple banana pie,primary,en
food_78387c82,apple cake,primary,en
food_78387c82,seb ka cake,regional,hi
food_45e16a5d,apple cider,primary,en
food_a9878e3c,apple cinnamon pie,primary,en
food_34326f91,apple crumb pudding,primary,en
food_783ce2b5,apple jam,primary,en
food_783ce2b5,seb ka murabba,regional,hi
food_11826d00,apple jelly,primary,en
food_11826d00,seb ki jelly,regional,hi
food_488b46a2,apple kheer,primary,en
food_488b46a2,seb ki kheer,regional,hi
food_371a8874,apple mousse,primary,en
food_ae0bda22,apple oats chia seed smoothie,primary,en
food_c75e3a95,apple pie,primary,en
food_99f6dcd4,apple sago payasam,primary,en
food_99f6dcd4,seb aur sabudana ki kheer,regional,hi
food_be6c39ab,apple snowballs,primary,en
food_6c9f7b31,apricot fool,primary,en
food_ee28fe9c,arancini,primary,en
food_4addcd11,arhar with spinach,primary,en
food_4addcd11,arhar dal aur palak,regional,hi
food_6faba4cd,ariselu,primary,en
food_388dcd36,arsa roti,primary,en
food_a0b0f266,artichoke,primary,en
food_6fc4ab30,arugula,primary,en
food_2f4a068d,asparagus,primary,en
food_3fb8d6f1,assorted pastry,primary,en
food_28afaec3,atta dal burfi,primary,en
food_531cfbee,attu,primary,en
food_5becd6a3,avial,primary,en
food_4fa6d529,avocado,primary,en
food_fb6b5b29,avocado toast,primary,en
food_3ab478c2,awadhi biryani,primary,en
food_91068dfd,awandru,primary,en
food_3c488dce,axone pork,primary,en
food_4420ac72,baati,primary,en
food_3ef00b3b,baba ganoush,primary,en
food_c4ad47d6,babru,primary,en
food_920527ed,bacon,primary,en
food_dbbc6485,bacon and mushroom pancake,primary,en
food_44ad9557,bafauri,primary,en
food_dfa58d73,bagara rice,primary,en
food_18ed023e,bagel,primary,en
food_2660d445,baguette,primary,en
food_22417bcb,bai,primary,en
food_c658b2f2,baida roti,primary,en
food_653e7f76,bajra churma,primary,en
food_8b4c267d,bajra khichdi,primary,en
food_auth_bajra_rotlo,bajra roti,transliteration,en
food_4b614e39,bajre ki roti,primary,en
food_b5cb6e23,bajri no rotlo,primary,en
food_280a0dd9,bajri rotla,primary,en
food_55a3e94a,baked brinjal in tomato sauce,primary,en
food_9e50bbde,baked custard,primary,en
food_f4ac6067,baked egg,primary,en
food_ceecd35d,baked eggs in tomato sauce,primary,en
food_50e91859,baked fish with cheese sauce,primary,en
food_6b654252,baked potato,primary,en
food_c622dc88,baked potato soup,primary,en
food_7df0d894,baked potato with skin,primary,en
food_b22bca8a,baked stuffed fish,primary,en
food_0625d3c7,baked vegetables,primary,en
food_6b7ca1ad,baked vegetables with spinach,primary,en
food_e0c85bcc,baklava,primary,en
food_395b4952,bal mithai,primary,en
food_496f78b1,balsamic glaze,primary,en
food_c234b22d,balsamic vinaigrette,primary,en
food_e3047eeb,balushahi,primary,en
food_b9ccd019,bamboo shoot curry,primary,en
food_84fc8dd7,bamboo shoot fry,primary,en
food_ec355f0f,banana,primary,en
food_397c19cc,banana appam,primary,en
food_08919a68,banana cake,primary,en
food_08919a68,kele ka cake,regional,hi
food_7fc8384e,banana chips,primary,en
food_7fc8384e,kele ke chips,transliteration,hi
food_a9ac3307,banana groundnut paste/puree,primary,en
food_fe71e6bc,banana milkshake,primary,en
food_fe71e6bc,kele milkshake,regional,hi
food_f80ec029,banana milkshake with ice cream,primary,en
food_f80ec029,kele ka milkshake ice cream ke saath,regional,hi
food_3db19e77,banana raita,primary,en
food_3db19e77,kele ka raita,regional,hi
food_ecc45008,banarasi kachori,primary,en
food_667b4729,banarasi paan,primary,en
food_3848e75e,banarasi tamatar chaat,primary,en
food_c3b8c25e,barbeque sauce,primary,en
food_d4e65c5a,barfi,primary,en
food_ede4117c,basil,primary,en
food_a43d329b,basundi,primary,en
food_edc90ded,batata saung,primary,en
food_c57556e1,batata vada,primary,en
food_8ab144bd,bathua bhujia,primary,en
food_4d9d4212,bathua poori,primary,en
food_6e847557,bathua raita,primary,en
food_74e784f0,bbq sauce,primary,en
food_de8df035,bean sprouts,primary,en
food_67e30564,beans and macaroni,primary,en
food_50b1a98e,beans foogath,primary,en
food_0d90ae30,beans with coconut,primary,en
food_0d90ae30,nariyal aur sem/phali; beans thoran,regional,hi
food_d54c906b,bebinca,primary,en
food_d4d5f9f2,bedai,primary,en
food_9874b4cf,beef burrito,primary,en
food_26cfc750,beef jerky,primary,en
food_638bb505,beef pho,primary,en
food_af6708aa,beef steak,primary,en
food_2e0807a8,beef stroganoff,primary,en
food_3a465f51,beef tacos,primary,en
food_97be720c,beef wellington,primary,en
food_40b7c26d,beer,primary,en
food_59cc6c61,beetroot and egg salad,primary,en
food_59cc6c61,chukandar aur ande ka salad,regional,hi
food_b3cf3718,beetroot poori,primary,en
food_b3cf3718,chukandar ki poori,regional,hi
food_c3b9a017,beets,primary,en
food_38fa0305,bell pepper,primary,en
food_fc4e89f8,bell peppers & onions,primary,en
food_0ae451ba,bengal 5 spice blend,primary,en
food_0ae451ba,panch phoran,regional,hi
food_cbab93ff,bengal fish curry,primary,en
food_cbab93ff,bengali machli curry,regional,hi
food_1178a240,bengena pitika,primary,en
food_2a2759a2,berma chutney,primary,en
food_a1a994d5,berry coulis,primary,en
food_d504a9e7,besan and spinach parantha/paratha,primary,en
food_d504a9e7,besan aur palak ka parantha/paratha,regional,hi
food_2dadd020,besan bathua chilla/cheela,primary,en
food_b8d1c5a7,besan gatte curry,primary,en
food_b64bdfc0,besan kadhi with pakodies,primary,en
food_028f3eac,besara,primary,en
food_080adeea,bhaang ki chutney,primary,en
food_a268310c,bhaji,primary,en
food_b611d77a,bhajji,primary,en
food_3e87e32c,bhakri,primary,en
food_cb5165ac,bhangui,primary,en
food_3426804d,bharli vangi,primary,en
food_b028e842,bhatt ki churkani,primary,en
food_41f75510,bhatura,primary,en
food_fd067479,bhel puri,primary,en
food_6cec63a3,bhey,primary,en
food_3fc108be,bhindi masala,primary,en
food_c1b9d298,bhopali chicken,primary,en
food_8ee4750d,bhopali gosht,primary,en
food_0f60b170,bhutte ka kees,primary,en
food_79698fc3,bihari chicken curry,primary,en
food_1e382ab4,bihari mutton curry,primary,en
food_404005cd,bilahi maas,primary,en
food_1e46772a,biryani,primary,en
food_ea4ffc67,biscotti,primary,en
food_b21f9573,biscuits and gravy,primary,en
food_1cf3f08e,bisi bele bath,primary,en
food_d1ad5d63,bison burger,primary,en
food_6e2050ad,black beans,primary,en
food_29d503fe,black channa curry/bengal gram curry,primary,en
food_29d503fe,kale chane ki curry,regional,hi
food_674e90bd,black channa pulao/ bengal gram pulao,primary,en
food_674e90bd,kale chane ka pulao,regional,hi
food_d42fad59,black forest gateau,primary,en
food_73d9ae41,black forest pastry,primary,en
food_52029816,black pepper,primary,en
